Date,Num Highs,Num Lows,Strength
2012-10-02,203,22,90.22222222222224
2012-10-03,205,26,88.74458874458875
2012-10-04,218,22,90.83333333333331
2012-10-05,214,23,90.29535864978902
2012-10-08,209,25,89.31623931623932
2012-10-09,192,29,86.87782805429865
2012-10-10,185,33,84.86238532110092
2012-10-11,186,29,86.51162790697674
2012-10-12,172,35,83.09178743961353
2012-10-15,189,30,86.3013698630137
2012-10-16,207,23,90.0
2012-10-17,206,20,91.1504424778761
2012-10-18,207,19,91.5929203539823
2012-10-19,182,28,86.66666666666667
2012-10-22,177,30,85.5072463768116
2012-10-23,154,35,81.48148148148148
2012-10-24,145,42,77.54010695187165
2012-10-25,148,42,77.89473684210526
2012-10-26,145,42,77.54010695187165
2012-10-31,155,47,76.73267326732673
2012-11-01,182,33,84.65116279069768
2012-11-02,163,39,80.6930693069307
2012-11-05,162,35,82.23350253807106
2012-11-06,182,29,86.25592417061611
2012-11-07,132,43,75.42857142857143
2012-11-08,113,48,70.1863354037267
2012-11-09,113,50,69.32515337423312
2012-11-12,112,51,68.71165644171779
2012-11-13,112,52,68.29268292682927
2012-11-14,86,59,59.310344827586206
2012-11-15,83,57,59.285714285714285
2012-11-16,97,56,63.39869281045751
2012-11-19,126,48,72.41379310344827
2012-11-20,128,49,72.31638418079096
2012-11-21,133,52,71.89189189189189
2012-11-23,154,45,77.38693467336684
2012-11-26,146,44,76.84210526315789
2012-11-27,138,45,75.40983606557377
2012-11-28,155,41,79.08163265306123
2012-11-29,156,33,82.53968253968253
2012-11-30,155,30,83.78378378378379
2012-12-03,145,36,80.11049723756905
2012-12-04,135,35,79.41176470588235
2012-12-05,148,29,83.61581920903954
2012-12-06,159,27,85.48387096774194
2012-12-07,167,28,85.64102564102564
2012-12-10,167,25,86.97916666666666
2012-12-11,176,26,87.12871287128714
2012-12-12,180,28,86.53846153846155
2012-12-13,170,30,85.0
2012-12-14,161,31,83.85416666666666
2012-12-17,184,29,86.3849765258216
2012-12-18,201,21,90.54054054054052
2012-12-19,189,21,90.0
2012-12-20,202,18,91.81818181818184
2012-12-21,184,23,88.88888888888889
2012-12-24,183,25,87.98076923076923
2012-12-26,168,30,84.84848484848484
2012-12-27,165,28,85.49222797927462
2012-12-28,141,37,79.21348314606742
2012-12-31,169,22,88.48167539267016
2013-01-02,213,17,92.6086956521739
2013-01-03,218,19,91.9831223628692
2013-01-04,228,15,93.82716049382717
2013-01-07,225,16,93.3609958506224
2013-01-08,217,21,91.17647058823528
2013-01-09,222,22,90.98360655737704
2013-01-10,239,18,92.99610894941634
2013-01-11,233,20,92.09486166007903
2013-01-14,232,23,90.98039215686276
2013-01-15,237,20,92.21789883268482
2013-01-16,237,21,91.86046511627907
2013-01-17,256,21,92.4187725631769
2013-01-18,257,20,92.7797833935018
2013-01-22,261,14,94.9090909090909
2013-01-23,268,17,94.03508771929825
2013-01-24,269,15,94.71830985915491
2013-01-25,274,13,95.47038327526133
2013-01-28,270,12,95.74468085106383
2013-01-29,268,10,96.40287769784172
2013-01-30,265,9,96.71532846715328
2013-01-31,266,14,95.0
2013-02-01,282,10,96.57534246575342
2013-02-04,258,13,95.20295202952028
2013-02-05,283,13,95.6081081081081
2013-02-06,282,12,95.91836734693877
2013-02-07,279,16,94.57627118644068
2013-02-08,288,12,96.0
2013-02-11,287,11,96.30872483221476
2013-02-12,284,10,96.5986394557823
2013-02-13,286,12,95.9731543624161
2013-02-14,284,14,95.3020134228188
2013-02-15,280,13,95.5631399317406
2013-02-19,293,13,95.75163398692813
2013-02-20,264,18,93.61702127659576
2013-02-21,243,20,92.39543726235742
2013-02-22,265,18,93.63957597173145
2013-02-25,208,21,90.82969432314412
2013-02-26,229,22,91.23505976095618
2013-02-27,269,18,93.72822299651568
2013-02-28,270,21,92.78350515463916
2013-03-01,268,20,93.05555555555556
2013-03-04,271,21,92.8082191780822
2013-03-05,289,18,94.13680781758956
2013-03-06,293,18,94.21221864951768
2013-03-07,292,20,93.5897435897436
2013-03-08,301,16,94.95268138801262
2013-03-11,309,14,95.6656346749226
2013-03-12,306,15,95.32710280373831
2013-03-13,309,20,93.9209726443769
2013-03-14,314,15,95.44072948328268
2013-03-15,313,17,94.84848484848484
2013-03-18,295,17,94.55128205128204
2013-03-19,279,18,93.93939393939394
2013-03-20,298,16,94.90445859872612
2013-03-21,281,17,94.29530201342284
