Date,Breadth Ratio
1996-09-10,0.3596560253693532
1996-09-11,0.4551175913587798
1996-09-12,0.6175640700457009
1996-09-13,0.8810969105697021
1996-09-16,0.8163959206115409
1996-09-17,0.6831034316616241
1996-09-18,0.7469869343172927
1996-09-19,0.682126600961752
1996-09-20,0.6596099221093896
1996-09-23,0.20036139666315478
1996-09-24,0.5958927631819761
1996-09-25,0.485328321109461
1996-09-26,0.46596030058282967
1996-09-27,0.45300333554485445
1996-09-30,0.37548277652013384
1996-10-01,0.7408648668344173
1996-10-02,0.5613289044117791
1996-10-03,0.34609331459643017
1996-10-04,0.7774866963523873
1996-10-07,0.6207817087345587
1996-10-08,0.4539322694546954
1996-10-09,0.31281791531919284
1996-10-10,0.6263427762663033
1996-10-11,0.7785979434483071
1996-10-14,0.7701354552736022
