Date,Bull-Bear Spread
1991-02-22,88.49332679544501
1991-03-01,74.64939833376621
1991-03-08,77.90261077798122
1991-03-15,87.21384336809187
1991-03-22,71.09495026250039
1991-03-29,78.91817065222529
1991-04-05,90.7207046882843
1991-04-12,74.64939833376621
1991-04-19,73.49725994665188
1991-04-26,90.7207046882843
1991-05-03,65.92603884513855
1991-05-10,64.56563062257953
1991-05-17,72.31218051243897
1991-05-24,71.09495026250039
1991-05-31,75.76796390037049
1991-06-07,85.06870654691564
1991-06-14,81.75744761936437
1991-06-21,84.29045311145474
1991-06-28,39.651675013527374
1991-07-03,42.555748318834105
1991-07-12,77.90261077798122
1991-07-19,57.4442516811659
1991-07-26,67.26070170677603
1991-08-02,52.99640517645717
1991-08-09,45.512110762642
1991-08-16,60.34832498647263
1991-08-23,50.0
