,Value
2005-03-11,94.97887268097335
2005-03-14,94.97887268097335
2005-03-15,94.97887268097335
2005-03-16,94.97887268097335
2005-03-17,94.97887268097335
2005-03-18,94.97887268097335
2005-03-21,94.97887268097335
2005-03-22,94.97887268097335
2005-03-23,94.97887268097335
2005-03-24,94.97887268097335
2005-03-28,94.97887268097335
2005-03-29,94.97887268097335
2005-03-30,94.97887268097335
2005-03-31,90.37844582893071
2005-04-01,90.37844582893071
2005-04-04,90.37844582893071
2005-04-05,90.37844582893071
2005-04-06,90.37844582893071
2005-04-07,90.37844582893071
2005-04-08,90.37844582893071
2005-04-11,90.37844582893071
2005-04-12,90.37844582893071
2005-04-13,90.37844582893071
2005-04-14,90.37844582893071
2005-04-15,90.37844582893071
2005-04-18,90.37844582893071
2005-04-19,90.37844582893071
2005-04-20,90.37844582893071
2005-04-21,90.37844582893071
2005-04-22,90.37844582893071
2005-04-25,90.37844582893071
2005-04-26,90.37844582893071
2005-04-27,90.37844582893071
2005-04-28,90.37844582893071
2005-04-29,90.37844582893071
2005-05-02,46.50570548417857
2005-05-03,46.50570548417857
2005-05-04,46.50570548417857
2005-05-05,46.50570548417857
2005-05-06,46.50570548417857
2005-05-09,46.50570548417857
2005-05-10,46.50570548417857
2005-05-11,46.50570548417857
2005-05-12,46.50570548417857
2005-05-13,46.50570548417857
2005-05-16,46.50570548417857
2005-05-17,46.50570548417857
2005-05-18,46.50570548417857
2005-05-19,46.50570548417857
2005-05-20,46.50570548417857
2005-05-23,46.50570548417857
2005-05-24,46.50570548417857
2005-05-25,46.50570548417857
2005-05-26,46.50570548417857
2005-05-27,46.50570548417857
2005-05-31,82.34647252208833
2005-06-01,82.34647252208833
2005-06-02,82.34647252208833
2005-06-03,82.34647252208833
2005-06-06,82.34647252208833
2005-06-07,82.34647252208833
2005-06-08,82.34647252208833
2005-06-09,82.34647252208833
2005-06-10,82.34647252208833
2005-06-13,82.34647252208833
2005-06-14,82.34647252208833
2005-06-15,82.34647252208833
2005-06-16,82.34647252208833
2005-06-17,82.34647252208833
2005-06-20,82.34647252208833
2005-06-21,82.34647252208833
2005-06-22,82.34647252208833
2005-06-23,82.34647252208833
2005-06-24,82.34647252208833
2005-06-27,82.34647252208833
2005-06-28,82.34647252208833
2005-06-29,82.34647252208833
2005-06-30,94.26758241011312
2005-07-01,94.26758241011312
2005-07-05,94.26758241011312
2005-07-06,94.26758241011312
2005-07-07,94.26758241011312
2005-07-08,94.26758241011312
2005-07-11,94.26758241011312
2005-07-12,94.26758241011312
2005-07-13,94.26758241011312
2005-07-14,94.26758241011312
2005-07-15,94.26758241011312
2005-07-18,94.26758241011312
2005-07-19,94.26758241011312
2005-07-20,94.26758241011312
2005-07-21,94.26758241011312
2005-07-22,94.26758241011312
2005-07-25,94.26758241011312
2005-07-26,94.26758241011312
2005-07-27,94.26758241011312
2005-07-28,94.26758241011312
2005-07-29,94.26758241011312
2005-08-01,94.97887268097335
2005-08-02,94.97887268097335
2005-08-03,94.97887268097335
2005-08-04,94.97887268097335
2005-08-05,94.97887268097335
2005-08-08,94.97887268097335
2005-08-09,94.97887268097335
2005-08-10,94.97887268097335
2005-08-11,94.97887268097335
2005-08-12,94.97887268097335
2005-08-15,94.97887268097335
2005-08-16,94.97887268097335
2005-08-17,94.97887268097335
2005-08-18,94.97887268097335
2005-08-19,94.97887268097335
2005-08-22,94.97887268097335
2005-08-23,94.97887268097335
2005-08-24,94.97887268097335
2005-08-25,94.97887268097335
2005-08-26,94.97887268097335
2005-08-29,94.97887268097335
2005-08-30,94.97887268097335
2005-08-31,94.26758241011312
2005-09-01,94.26758241011312
2005-09-02,94.26758241011312
2005-09-06,94.26758241011312
2005-09-07,94.26758241011312
2005-09-08,94.26758241011312
2005-09-09,94.26758241011312
2005-09-12,94.26758241011312
2005-09-13,94.26758241011312
2005-09-14,94.26758241011312
2005-09-15,94.26758241011312
2005-09-16,94.26758241011312
2005-09-19,94.26758241011312
2005-09-20,94.26758241011312
2005-09-21,94.26758241011312
2005-09-22,94.26758241011312
2005-09-23,94.26758241011312
2005-09-26,94.26758241011312
2005-09-27,94.26758241011312
2005-09-28,94.26758241011312
2005-09-29,94.26758241011312
2005-09-30,89.0903178804387
2005-10-03,89.0903178804387
2005-10-04,89.0903178804387
2005-10-05,89.0903178804387
2005-10-06,89.0903178804387
2005-10-07,89.0903178804387
2005-10-10,89.0903178804387
2005-10-11,89.0903178804387
2005-10-12,89.0903178804387
2005-10-13,89.0903178804387
2005-10-14,89.0903178804387
2005-10-17,89.0903178804387
2005-10-18,89.0903178804387
2005-10-19,89.0903178804387
2005-10-20,89.0903178804387
2005-10-21,89.0903178804387
2005-10-24,89.0903178804387
2005-10-25,89.0903178804387
2005-10-26,89.0903178804387
2005-10-27,89.0903178804387
2005-10-28,89.0903178804387
2005-10-31,56.954622393922904
2005-11-01,56.954622393922904
2005-11-02,56.954622393922904
2005-11-03,56.954622393922904
2005-11-04,56.954622393922904
2005-11-07,56.954622393922904
2005-11-08,56.954622393922904
2005-11-09,56.954622393922904
2005-11-10,56.954622393922904
2005-11-11,56.954622393922904
2005-11-14,56.954622393922904
2005-11-15,56.954622393922904
2005-11-16,56.954622393922904
2005-11-17,56.954622393922904
2005-11-18,56.954622393922904
2005-11-21,56.954622393922904
2005-11-22,56.954622393922904
2005-11-23,56.954622393922904
2005-11-25,56.954622393922904
2005-11-28,56.954622393922904
2005-11-29,56.954622393922904
2005-11-30,94.26758241011312
2005-12-01,94.26758241011312
2005-12-02,94.26758241011312
2005-12-05,94.26758241011312
2005-12-06,94.26758241011312
2005-12-07,94.26758241011312
2005-12-08,94.26758241011312
2005-12-09,94.26758241011312
2005-12-12,94.26758241011312
2005-12-13,94.26758241011312
2005-12-14,94.26758241011312
2005-12-15,94.26758241011312
2005-12-16,94.26758241011312
2005-12-19,94.26758241011312
2005-12-20,94.26758241011312
2005-12-21,94.26758241011312
2005-12-22,94.26758241011312
2005-12-23,94.26758241011312
2005-12-27,94.26758241011312
2005-12-28,94.26758241011312
2005-12-29,94.26758241011312
2005-12-30,94.26758241011312
2006-01-03,94.26758241011312
2006-01-04,94.26758241011312
2006-01-05,94.26758241011312
2006-01-06,94.26758241011312
2006-01-09,94.26758241011312
2006-01-10,94.26758241011312
2006-01-11,94.26758241011312
2006-01-12,94.26758241011312
2006-01-13,94.26758241011312
2006-01-17,94.26758241011312
2006-01-18,94.26758241011312
2006-01-19,94.26758241011312
2006-01-20,94.26758241011312
2006-01-23,94.26758241011312
2006-01-24,94.26758241011312
2006-01-25,94.26758241011312
2006-01-26,94.26758241011312
2006-01-27,94.26758241011312
2006-01-30,94.26758241011312
2006-01-31,94.26758241011312
2006-02-01,94.26758241011312
2006-02-02,94.26758241011312
2006-02-03,94.26758241011312
2006-02-06,94.26758241011312
2006-02-07,94.26758241011312
2006-02-08,94.26758241011312
2006-02-09,94.26758241011312
2006-02-10,94.26758241011312
2006-02-13,94.26758241011312
2006-02-14,94.26758241011312
2006-02-15,94.26758241011312
2006-02-16,94.26758241011312
2006-02-17,94.26758241011312
2006-02-21,94.26758241011312
2006-02-22,94.26758241011312
2006-02-23,94.26758241011312
2006-02-24,94.26758241011312
2006-02-27,94.26758241011312
2006-02-28,94.97887268097335
2006-03-01,94.97887268097335
2006-03-02,94.97887268097335
2006-03-03,94.97887268097335
2006-03-06,94.97887268097335
2006-03-07,94.97887268097335
2006-03-08,94.97887268097335
2006-03-09,94.97887268097335
2006-03-10,94.97887268097335
2006-03-13,94.97887268097335
2006-03-14,94.97887268097335
2006-03-15,94.97887268097335
2006-03-16,94.97887268097335
2006-03-17,94.97887268097335
2006-03-20,94.97887268097335
2006-03-21,94.97887268097335
2006-03-22,94.97887268097335
2006-03-23,94.97887268097335
2006-03-24,94.97887268097335
2006-03-27,94.97887268097335
2006-03-28,94.97887268097335
2006-03-29,94.97887268097335
2006-03-30,94.97887268097335
2006-03-31,96.64307767185176
2006-04-03,96.64307767185176
2006-04-04,96.64307767185176
2006-04-05,96.64307767185176
2006-04-06,96.64307767185176
2006-04-07,96.64307767185176
2006-04-10,96.64307767185176
2006-04-11,96.64307767185176
2006-04-12,96.64307767185176
2006-04-13,96.64307767185176
2006-04-17,96.64307767185176
2006-04-18,96.64307767185176
2006-04-19,96.64307767185176
2006-04-20,96.64307767185176
2006-04-21,96.64307767185176
2006-04-24,96.64307767185176
2006-04-25,96.64307767185176
2006-04-26,96.64307767185176
2006-04-27,96.64307767185176
2006-04-28,96.64307767185176
2006-05-01,94.97887268097335
2006-05-02,94.97887268097335
2006-05-03,94.97887268097335
2006-05-04,94.97887268097335
2006-05-05,94.97887268097335
2006-05-08,94.97887268097335
2006-05-09,94.97887268097335
2006-05-10,94.97887268097335
2006-05-11,94.97887268097335
2006-05-12,94.97887268097335
2006-05-15,94.97887268097335
2006-05-16,94.97887268097335
2006-05-17,94.97887268097335
2006-05-18,94.97887268097335
2006-05-19,94.97887268097335
2006-05-22,94.97887268097335
2006-05-23,94.97887268097335
2006-05-24,94.97887268097335
2006-05-25,94.97887268097335
2006-05-26,94.97887268097335
2006-05-30,94.97887268097335
2006-05-31,84.29045311145474
2006-06-01,84.29045311145474
2006-06-02,84.29045311145474
2006-06-05,84.29045311145474
2006-06-06,84.29045311145474
2006-06-07,84.29045311145474
2006-06-08,84.29045311145474
2006-06-09,84.29045311145474
2006-06-12,84.29045311145474
2006-06-13,84.29045311145474
2006-06-14,84.29045311145474
2006-06-15,84.29045311145474
2006-06-16,84.29045311145474
2006-06-19,84.29045311145474
2006-06-20,84.29045311145474
2006-06-21,84.29045311145474
2006-06-22,84.29045311145474
2006-06-23,84.29045311145474
2006-06-26,84.29045311145474
2006-06-27,84.29045311145474
2006-06-28,84.29045311145474
2006-06-29,84.29045311145474
2006-06-30,69.84652160025388
2006-07-03,69.84652160025388
2006-07-05,69.84652160025388
2006-07-06,69.84652160025388
2006-07-07,69.84652160025388
2006-07-10,69.84652160025388
2006-07-11,69.84652160025388
2006-07-12,69.84652160025388
2006-07-13,69.84652160025388
2006-07-14,69.84652160025388
2006-07-17,69.84652160025388
2006-07-18,69.84652160025388
2006-07-19,69.84652160025388
2006-07-20,69.84652160025388
2006-07-21,69.84652160025388
2006-07-24,69.84652160025388
2006-07-25,69.84652160025388
2006-07-26,69.84652160025388
2006-07-27,69.84652160025388
2006-07-28,69.84652160025388
2006-07-31,60.34832498647263
2006-08-01,60.34832498647263
2006-08-02,60.34832498647263
2006-08-03,60.34832498647263
2006-08-04,60.34832498647263
2006-08-07,60.34832498647263
2006-08-08,60.34832498647263
2006-08-09,60.34832498647263
2006-08-10,60.34832498647263
2006-08-11,60.34832498647263
2006-08-14,60.34832498647263
2006-08-15,60.34832498647263
2006-08-16,60.34832498647263
