,PCR
2020-07-30,92.62064125920695
2020-07-31,90.21088414259854
2020-08-03,89.69698486286245
2020-08-04,92.91632177254917
2020-08-05,95.15652464667171
2020-08-06,96.67913757210069
2020-08-07,97.65940174991572
2020-08-10,96.62944546974076
2020-08-11,97.6556963176442
2020-08-12,98.11043330793878
2020-08-13,98.14039480957454
2020-08-14,98.30614394591878
2020-08-17,94.43755355915334
2020-08-18,95.17407949080757
2020-08-19,96.31126203896633
2020-08-20,97.34355159558841
2020-08-21,97.73987549373823
2020-08-24,98.12295852006217
2020-08-25,98.59381036920165
2020-08-26,98.9043742811433
2020-08-27,99.20347089746535
2020-08-28,99.41868805211557
2020-08-31,99.44252755528815
2020-09-01,99.20626066019433
2020-09-02,99.37348017466184
2020-09-03,99.4826730431022
2020-09-04,86.34244895239908
2020-09-08,72.33420107152098
2020-09-09,70.51006916068123
2020-09-10,57.377490971221114
2020-09-11,65.97963877892813
2020-09-14,47.04575500957225
2020-09-15,63.2540606651743
2020-09-16,74.8910068789918
2020-09-17,80.66022667949045
2020-09-18,73.47408425296162
2020-09-21,57.138007216813236
2020-09-22,69.93302398040409
2020-09-23,72.56309869438267
2020-09-24,79.05002009187616
2020-09-25,60.71754675453818
2020-09-28,64.49144459649035
2020-09-29,75.84925197092242
2020-09-30,82.3445818720092
2020-10-01,87.73750950966048
2020-10-02,89.70563736652286
2020-10-05,86.9752874166236
2020-10-06,89.69312070970851
2020-10-07,92.43856314235245
2020-10-08,94.74383745322446
2020-10-09,96.40595886201275
2020-10-12,97.19766321210984
2020-10-13,97.96184226906927
2020-10-14,98.54554045507128
2020-10-15,97.99130140354048
2020-10-16,97.87345742515718
2020-10-19,97.98605485951526
2020-10-20,98.32141881431698
2020-10-21,94.46677385303445
2020-10-22,93.71105978581807
2020-10-23,94.31092420928591
2020-10-26,90.37739176585482
2020-10-27,74.86463026861954
2020-10-28,81.72155653106294
2020-10-29,58.27720910765918
2020-10-30,67.62023349498138
2020-11-02,45.198584254480075
2020-11-03,38.259366864619835
2020-11-04,58.211269083270984
2020-11-05,71.50273677520586
2020-11-06,80.51875889383011
2020-11-09,86.8103368548483
2020-11-10,91.1441856115361
2020-11-11,89.23183703389257
2020-11-12,91.89287426991872
2020-11-13,89.6420749763066
2020-11-16,90.15601371920461
2020-11-17,93.0404179778413
2020-11-18,93.07305422401873
2020-11-19,95.07840218141354
2020-11-20,95.71826653676409
2020-11-23,96.97225826503798
2020-11-24,97.6613230438353
2020-11-25,98.34151167031591
2020-11-27,98.95172309574828
2020-11-30,99.04261362084844
2020-12-01,98.88574755812188
2020-12-02,99.17559763458598
2020-12-03,99.24639398713002
2020-12-04,99.4506415141416
2020-12-07,99.47502747907517
2020-12-08,99.56062582726959
2020-12-09,99.58380534234442
2020-12-10,99.30962411617251
2020-12-11,99.3073218578623
2020-12-14,95.38977157615132
2020-12-15,96.494815418019
2020-12-16,97.0738561322727
2020-12-17,97.60310006165871
2020-12-18,98.29912499937456
2020-12-21,97.3799525514617
2020-12-22,96.25743606625876
2020-12-23,97.39715429242013
2020-12-24,97.9031027761627
2020-12-28,79.49364863697706
2020-12-29,85.43681595453957
2020-12-30,89.08271023590542
2020-12-31,90.56199808516283
2021-01-04,67.60736031634683
2021-01-05,76.22396519488555
2021-01-06,82.90042930452294
2021-01-07,88.38287512492987
2021-01-08,92.09046547386872
2021-01-11,93.7410695555346
2021-01-12,95.41225382709142
2021-01-13,96.88876269634075
2021-01-14,97.87172913917935
2021-01-15,98.4803762823671
2021-01-19,96.88024909844872
2021-01-20,97.77782972337184
2021-01-21,98.16431861690045
2021-01-22,98.41557839763624
2021-01-25,98.57659734582323
2021-01-26,98.84444118655267
2021-01-27,98.84836554125165
2021-01-28,98.84421361649368
2021-01-29,98.83458652813327
2021-02-01,75.03705176474364
2021-02-02,82.63745811130312
2021-02-03,88.01860604068126
2021-02-04,91.01699449809085
2021-02-05,93.448634901826
2021-02-08,95.06068176445963
2021-02-09,96.38503005578627
2021-02-10,97.45538443469839
2021-02-11,98.11831584455506
2021-02-12,98.4910560684679
2021-02-16,97.12888660511288
2021-02-17,97.21854997501059
2021-02-18,97.7810670931717
2021-02-19,88.89125868335164
2021-02-22,91.39424548163935
2021-02-23,93.04762925863436
2021-02-24,93.72699805407524
2021-02-25,95.69999273973478
2021-02-26,93.270149857278
2021-03-01,64.16973509384944
2021-03-02,75.8197767485489
2021-03-03,82.16160689695384
2021-03-04,82.98277670810329
2021-03-05,71.20470576326626
2021-03-08,51.85768936627417
2021-03-09,64.87926695829593
2021-03-10,75.59977593461389
2021-03-11,82.73335733212213
2021-03-12,86.69151991523863
2021-03-15,89.31074839952805
2021-03-16,92.55333649683928
2021-03-17,93.6289581403715
2021-03-18,93.8615543361772
2021-03-19,91.5834642791254
2021-03-22,90.0360626147617
2021-03-23,92.90163598986646
2021-03-24,93.29762377549177
2021-03-25,70.34976553061286
2021-03-26,53.37684016835732
2021-03-29,42.091236436082745
2021-03-30,50.190687756579884
2021-03-31,61.07409653546298
2021-04-01,72.93142195428527
2021-04-05,82.6466204264646
2021-04-06,88.07273485274743
2021-04-07,91.16841412162655
2021-04-08,89.38525554929906
2021-04-09,90.12747810029134
2021-04-12,83.69534638552616
2021-04-13,82.95564504552046
2021-04-14,86.47931552824144
2021-04-15,89.34197184766113
2021-04-16,86.57598328251949
2021-04-19,88.83511176404745
2021-04-20,89.60900537239688
2021-04-21,86.62155024763582
2021-04-22,89.3679871319495
2021-04-23,78.027363794348
2021-04-26,63.207625980613024
2021-04-27,73.74275681647195
2021-04-28,72.17907676403857
2021-04-29,79.69929473924664
2021-04-30,81.24819655623534
2021-05-03,58.47175439165991
2021-05-04,59.65048376586774
2021-05-05,48.69189786409834
2021-05-06,61.771760466962654
2021-05-07,48.27078472664024
2021-05-10,52.8447909939898
2021-05-11,39.55501709567067
2021-05-12,33.52047975227044
2021-05-13,23.803880545373435
2021-05-14,17.343405628152336
2021-05-17,25.166189141348166
2021-05-18,28.067621633180064
2021-05-19,45.58357816500676
2021-05-20,36.13674493350114
2021-05-21,50.965972589221856
2021-05-24,50.02830226158204
2021-05-25,65.7197857394681
2021-05-26,68.8690475269349
2021-05-27,76.9353176869465
2021-05-28,83.63040978705295
2021-06-01,87.5160395671963
2021-06-02,88.5161527218013
2021-06-03,92.02442875911039
2021-06-04,93.63080969149827
2021-06-07,93.25682173472859
2021-06-08,93.59796969436617
2021-06-09,95.54572266814814
2021-06-10,96.77465147446851
2021-06-11,95.84888889798106
2021-06-14,89.78657462322433
2021-06-15,92.92608300812493
2021-06-16,91.70616318370203
2021-06-17,70.9221837415186
2021-06-18,71.10313668138802
2021-06-21,55.253938862514
2021-06-22,68.6045096318227
2021-06-23,73.01214796440806
2021-06-24,81.33965974299443
2021-06-25,86.65118341513079
2021-06-28,83.20618721359799
2021-06-29,87.15916988032932
2021-06-30,89.23492911174229
2021-07-01,91.87745427013157
2021-07-02,91.61354646705809
2021-07-06,71.57549639459785
2021-07-07,66.22177524029472
2021-07-08,60.16307942061718
2021-07-09,43.526102199237435
2021-07-12,42.65121101133406
2021-07-13,51.63636281754384
2021-07-14,59.58271739185238
2021-07-15,62.86897667267647
2021-07-16,45.32714465745627
2021-07-19,30.41032994929289
2021-07-20,34.065723147041815
2021-07-21,53.12086430338311
2021-07-22,63.749938457329286
2021-07-23,48.295272629285115
2021-07-26,34.20443709456996
2021-07-27,24.83134005634655
2021-07-28,20.101032559015405
2021-07-29,29.83489559315343
2021-07-30,45.31256628291791
2021-08-02,37.76144504099123
2021-08-03,44.087681197080656
2021-08-04,56.47027945439576
2021-08-05,54.02623282841313
2021-08-06,52.398015038790795
2021-08-09,44.35870720294135
2021-08-10,53.03566600460548
2021-08-11,66.50162643479653
2021-08-12,60.62993925875448
2021-08-13,54.254619925149115
2021-08-16,42.068763329388986
2021-08-17,39.59579452764146
2021-08-18,31.01649625554892
2021-08-19,37.11905738432495
2021-08-20,26.813611311392396
2021-08-23,23.90656168929192
2021-08-24,48.0584833496196
2021-08-25,64.6854173495407
2021-08-26,74.79823132138864
2021-08-27,59.18357073678382
2021-08-30,62.806984344134726
2021-08-31,73.527901453751
2021-09-01,77.33723796449068
2021-09-02,80.99798771651645
2021-09-03,85.61218004425797
2021-09-07,72.7366902382293
2021-09-08,79.5131590858259
2021-09-09,84.00840577263476
2021-09-10,87.55882150312725
2021-09-13,84.94923719055093
2021-09-14,69.78013490921029
2021-09-15,55.324071375801054
2021-09-16,59.682878301722404
2021-09-17,62.56652630999071
2021-09-20,64.4667987706576
2021-09-21,49.9576234016675
2021-09-22,44.17652103470643
2021-09-23,59.64958046010664
2021-09-24,64.52902538504024
2021-09-27,73.94017701599655
2021-09-28,54.69693314953853
2021-09-29,41.89785913784526
2021-09-30,58.85922839060212
2021-10-01,47.9306436283589
2021-10-04,49.92787589076497
2021-10-05,40.216389739768296
2021-10-06,33.77142209619206
2021-10-07,25.770572212726876
2021-10-08,46.43027089331273
2021-10-11,55.73956619647644
2021-10-12,57.6157528268786
2021-10-13,70.3743713988395
2021-10-14,71.58308087612276
2021-10-15,76.8606249758665
2021-10-18,75.83063031441827
2021-10-19,82.01688099110264
2021-10-20,86.94418234622623
2021-10-21,89.38151155368094
2021-10-22,89.56326972198787
2021-10-25,72.22432777811447
2021-10-26,60.68091465977739
2021-10-27,72.3237899911058
2021-10-28,78.95182617751321
2021-10-29,69.88973961109156
2021-11-01,79.57876505334605
2021-11-02,80.53135916932848
2021-11-03,81.13657236104272
2021-11-04,86.94300176453304
2021-11-05,90.41619931411473
2021-11-08,92.71924924880405
2021-11-09,91.46360725864724
2021-11-10,90.5991474962132
2021-11-11,93.35163731950438
2021-11-12,91.77091604168622
2021-11-15,90.6894623503664
2021-11-16,85.70769154146086
2021-11-17,82.35863984458321
2021-11-18,84.3558877082191
2021-11-19,85.65955166278127
2021-11-22,88.15112136894804
2021-11-23,90.78855140531283
2021-11-24,71.56771120696821
2021-11-26,51.15799969028439
2021-11-29,39.74351085491115
2021-11-30,57.5198647590802
2021-12-01,61.307938766733635
2021-12-02,54.21960604264003
2021-12-03,37.233292597911216
2021-12-06,24.853732726872206
2021-12-07,25.809490326128213
2021-12-08,47.59025151249864
2021-12-09,60.020909570685006
2021-12-10,51.282890723972805
2021-12-13,35.68201605765038
2021-12-14,29.60775296939192
2021-12-15,21.755684130548484
2021-12-16,17.194263642482344
2021-12-17,19.015292133465977
2021-12-20,15.403699222460185
2021-12-21,35.75067141401328
2021-12-22,45.163609625809244
2021-12-23,55.54855120469164
2021-12-27,46.42850027737426
2021-12-28,59.4167463498573
2021-12-29,66.66190139278461
2021-12-30,51.950827436531135
2021-12-31,55.86921834450383
2022-01-03,44.77133526855679
2022-01-04,37.40145018834556
2022-01-05,32.51685937519802
2022-01-06,52.15611249703784
2022-01-07,60.16806564959632
2022-01-10,44.722232902537705
2022-01-11,32.53749047258123
2022-01-12,24.438578426457664
2022-01-13,22.353136863898786
2022-01-14,44.5584452026964
2022-01-18,34.73837124786284
2022-01-19,23.83099397415805
2022-01-20,16.569694784619323
2022-01-21,25.5013013887353
2022-01-24,24.942305989504277
2022-01-25,16.631487310865516
2022-01-26,11.38617341390639
2022-01-27,7.894907473091499
2022-01-28,7.041394798956986
2022-01-31,11.44456123604032
2022-02-01,7.700952191608413
2022-02-02,5.206978571653003
2022-02-03,16.68985813384681
2022-02-04,24.358482261352254
2022-02-07,31.92605545286502
2022-02-08,23.18327688462006
2022-02-09,17.37492321412333
2022-02-10,25.011181450279224
2022-02-11,21.063785541138177
2022-02-14,44.351276700508244
2022-02-15,30.38713176541192
2022-02-16,21.089530662535388
2022-02-17,14.529001174711906
2022-02-18,30.81564222823822
2022-02-22,16.09004697887767
2022-02-23,10.788289652405192
2022-02-24,16.907025494950013
2022-02-25,11.648437822072074
2022-02-28,8.149424491786272
2022-03-01,11.782696415156208
2022-03-02,14.23461887089986
2022-03-03,33.56129348308651
2022-03-04,44.293453835930016
2022-03-07,39.551379229929694
2022-03-08,26.761474929923722
2022-03-09,18.241809532640854
2022-03-10,18.738884873086487
2022-03-11,29.963207646208613
2022-03-14,32.54887347128803
2022-03-15,22.250705484780838
2022-03-16,15.394174430145995
2022-03-17,11.624488690744945
2022-03-18,7.926256587526275
2022-03-21,14.047206120767862
2022-03-22,39.54830468214114
2022-03-23,56.52321103748494
2022-03-24,66.83868356904536
2022-03-25,69.18084257070484
2022-03-28,72.50189234838302
2022-03-29,70.83321024877313
2022-03-30,69.6994129645771
2022-03-31,76.53070435237031
2022-04-01,83.28273241289271
2022-04-04,87.40837417396445
2022-04-05,62.24867713133158
2022-04-06,45.50357945282213
2022-04-07,56.5504599386035
2022-04-08,42.894517171690644
2022-04-11,31.688107657449947
2022-04-12,27.85269957629562
2022-04-13,25.32528220257728
2022-04-14,27.45876793427992
2022-04-18,44.25955415635563
2022-04-19,51.988273213978495
2022-04-20,57.119459831433026
2022-04-21,68.13738169064347
2022-04-22,65.50079665959628
2022-04-25,46.026634589254535
2022-04-26,30.68550740313036
2022-04-27,20.458134942845735
2022-04-28,15.103821128807155
2022-04-29,10.174272614001268
2022-05-02,7.135412093451066
2022-05-03,5.623094005395321
2022-05-04,17.74988713450046
2022-05-05,17.83224979139575
2022-05-06,13.46225078066981
2022-05-09,9.088035818067166
2022-05-10,6.0780244909098
2022-05-11,4.442903361013442
2022-05-12,2.9680735670041547
2022-05-13,1.9872796249332847
2022-05-16,2.0896713791952433
2022-05-17,2.7775004959777974
2022-05-18,2.1767720322191284
2022-05-19,1.4562801659195133
2022-05-20,0.9837924927913376
2022-05-23,0.6692126368528797
2022-05-24,6.44664103684934
2022-05-25,4.331702859524588
2022-05-26,5.030798560462462
2022-05-27,5.518398775285604
2022-05-31,20.993290398477768
2022-06-01,15.665293116302673
2022-06-02,11.153788834642208
2022-06-03,10.424361441347997
2022-06-06,6.987007294464271
2022-06-07,9.877382929487851
2022-06-08,13.2939881169022
2022-06-09,19.37409896850629
2022-06-10,13.33755672865827
2022-06-13,8.892807270506362
2022-06-14,5.933656946581292
2022-06-15,3.9629184203784376
2022-06-16,2.9977376531109
2022-06-17,2.0015634585559834
2022-06-21,1.4114354529137314
2022-06-22,30.75782351071513
