,Breadth Ratio
2019-10-04,39.111785591303
2019-10-07,51.868281322839806
2019-10-08,50.0050997755496
2019-10-09,33.897069849604705
2019-10-10,47.2555669901864
2019-10-11,56.40121871437962
2019-10-14,69.41418683170201
2019-10-15,68.71810394323121
2019-10-16,77.45497153485157
2019-10-17,72.63796422184308
2019-10-18,78.151133172431
2019-10-21,75.29402328822641
2019-10-22,81.87536918659556
2019-10-23,79.73194907859155
2019-10-24,79.47741408342407
2019-10-25,79.31000599908108
2019-10-28,82.57845670465642
2019-10-29,85.37112927809379
2019-10-30,82.68148488454214
2019-10-31,83.26140326382986
2019-11-01,79.29383420192706
2019-11-04,84.13413797156718
2019-11-05,87.5129950193712
2019-11-06,86.39675812108149
2019-11-07,84.60105851457187
2019-11-08,86.41289483398629
2019-11-11,86.8556548301093
2019-11-12,85.92498951424426
2019-11-13,86.22961914795404
2019-11-14,83.35063675308858
2019-11-15,84.12553705800886
2019-11-18,84.23193556748814
2019-11-19,86.21761272779511
2019-11-20,83.1859038752273
2019-11-21,79.70877956668063
2019-11-22,75.01628511483219
2019-11-25,78.46848011679091
2019-11-26,84.48259145711907
2019-11-27,82.88147364341268
2019-11-29,86.89639928844913
2019-12-02,79.47292091731993
2019-12-03,70.44171980918304
2019-12-04,60.20172780273633
2019-12-05,68.97233286856121
2019-12-06,69.17681857308476
2019-12-09,78.7827654851746
2019-12-10,76.0703559264664
2019-12-11,78.26439040336808
2019-12-12,81.51365879285098
2019-12-13,87.42084091470046
2019-12-16,83.69989835544244
2019-12-17,88.58542842712853
2019-12-18,90.05950772795232
2019-12-19,89.79522379656845
2019-12-20,91.70902302322847
2019-12-23,93.2441648783759
2019-12-24,92.34261702475557
2019-12-26,91.49422570151656
2019-12-27,93.74353486851454
2019-12-30,91.58429040625026
2019-12-31,87.27093344697498
2020-01-02,91.22309345958011
2020-01-03,92.78324451663636
2020-01-06,88.52300911943068
2020-01-07,89.47621677158814
2020-01-08,88.7585972444282
2020-01-09,90.60402525730741
2020-01-10,92.95136666167883
2020-01-13,92.09690559435258
2020-01-14,94.25157167895917
2020-01-15,93.26703042415129
2020-01-16,91.64772562474529
2020-01-17,94.44771341804383
2020-01-21,94.90723747873399
2020-01-22,93.35144750107851
2020-01-23,93.62661454054613
2020-01-24,93.84158535935238
2020-01-27,89.46738482548204
2020-01-28,81.76020725697836
2020-01-29,87.33352172472952
2020-01-30,84.34228071551692
2020-01-31,86.03169715582352
2020-02-03,78.24726593598132
2020-02-04,81.91130958500605
2020-02-05,87.22892049925325
2020-02-06,90.23198971466842
2020-02-07,90.66004899903912
2020-02-10,87.26281214241784
2020-02-11,90.19333287351031
2020-02-12,92.44910742602721
2020-02-13,94.55586587632286
2020-02-14,92.75696977939985
2020-02-18,93.64807869333833
2020-02-19,93.19888982041746
2020-02-20,94.6907455576544
2020-02-21,92.76526271561274
2020-02-24,87.88479034366624
2020-02-25,77.83799967375933
2020-02-26,63.07985650916931
2020-02-27,60.1949949901566
2020-02-28,43.04877819897957
2020-03-02,38.78938607658997
2020-03-03,53.6118339156822
2020-03-04,37.5368072021682
2020-03-05,52.202752553420126
2020-03-06,35.63562630331868
2020-03-09,25.17740504817173
2020-03-10,14.618450902888108
2020-03-11,24.636177827350288
2020-03-12,14.605345672853476
2020-03-13,8.062331401381744
2020-03-16,14.921261049559769
2020-03-17,8.391051745057876
2020-03-18,12.478050003771035
2020-03-19,7.70576047735137
2020-03-20,9.760697099652415
2020-03-23,6.6299502981621625
2020-03-24,5.522220835031655
2020-03-25,10.536284538323976
2020-03-26,11.603468364717322
2020-03-27,18.97386198650286
2020-03-30,11.444983613001225
2020-03-31,15.644123131430575
2020-04-01,11.453459327779441
2020-04-02,6.41144402494434
2020-04-03,8.697054391353209
2020-04-06,6.590747498555782
2020-04-07,11.791104568151784
2020-04-08,12.973185146260402
2020-04-09,22.05044002208114
2020-04-13,26.179848758256263
2020-04-14,23.217622265388787
2020-04-15,31.533908253640412
2020-04-16,22.027243201348494
2020-04-17,23.05267097135177
2020-04-20,29.391569801846906
2020-04-21,20.56227279786418
2020-04-22,12.126306475842386
2020-04-23,17.298908224808933
2020-04-24,17.219451291213737
2020-04-27,23.789789191393773
2020-04-28,31.662923935384757
2020-04-29,33.792752157314794
2020-04-30,44.44187056475869
2020-05-01,36.068608071495866
2020-05-04,22.37410705568052
2020-05-05,23.30220559481546
2020-05-06,24.539973431972474
2020-05-07,20.07792254253059
2020-05-08,28.05050814349791
2020-05-11,41.915351144562216
2020-05-12,38.919610973351844
2020-05-13,25.45111212979893
2020-05-14,15.611381933592689
2020-05-15,23.301013251176055
2020-05-18,25.64219638255923
2020-05-19,39.55663638907785
2020-05-20,34.38553496683091
2020-05-21,47.166736378036816
2020-05-22,39.662548190601825
2020-05-26,43.648562540142564
2020-05-27,48.02970233302115
2020-05-28,52.14613063458094
2020-05-29,41.96242612257484
2020-06-01,40.578418851641416
2020-06-02,45.13876314918742
2020-06-03,57.1456697664602
2020-06-04,65.76748182645098
2020-06-05,71.5571534468315
2020-06-08,81.82601091775057
2020-06-09,86.58326616134946
2020-06-10,82.00159211263407
2020-06-11,77.31538732160381
2020-06-12,61.88238296765471
2020-06-15,72.43056855003326
2020-06-16,77.81596951973341
2020-06-17,83.6149992833924
2020-06-18,79.32310629677004
2020-06-19,77.95953746682999
2020-06-22,72.7277999343927
2020-06-23,74.00413191544001
2020-06-24,72.31973916983259
2020-06-25,57.03614514913422
2020-06-26,66.41327868756176
2020-06-29,51.97158886906341
2020-06-30,65.34443671041244
2020-07-01,73.42424588214367
2020-07-02,70.24299347094802
2020-07-06,76.52058499847212
2020-07-07,83.89648173846673
2020-07-08,77.31567921700643
2020-07-09,81.65670440845392
2020-07-10,78.6429338207115
2020-07-13,82.94212756963867
2020-07-14,77.10916751945504
2020-07-15,82.20941682196538
2020-07-16,85.62156545246273
2020-07-17,82.0576726677943
2020-07-20,79.97083872545991
2020-07-21,78.68163922296615
2020-07-22,80.74259045662777
2020-07-23,83.01679710694825
2020-07-24,79.2526944042431
2020-07-27,75.07431237361182
2020-07-28,75.38303787304929
2020-07-29,70.77089885729085
2020-07-30,77.03930069716878
2020-07-31,74.86146886217983
2020-08-03,74.63993116047016
2020-08-04,78.24210291492494
2020-08-05,83.02270305192343
2020-08-06,86.65148645316665
2020-08-07,87.7867775204773
2020-08-10,86.8576196173197
2020-08-11,88.46739231843472
2020-08-12,86.2101671620552
2020-08-13,88.03568140811431
2020-08-14,86.21246539896259
2020-08-17,87.65577035564161
2020-08-18,87.49533824566534
2020-08-19,83.24262785910813
2020-08-20,78.26180925174555
2020-08-21,78.91321950616536
2020-08-24,80.9032832684376
2020-08-25,87.45076621200243
2020-08-26,87.28368997127575
2020-08-27,87.76261804349981
2020-08-28,87.93425460009965
2020-08-31,91.49074925088422
2020-09-01,90.30985991664691
2020-09-02,91.85720849297611
2020-09-03,94.55869080754451
2020-09-04,90.58514674033704
2020-09-08,87.83936499396023
2020-09-09,80.22093574684884
2020-09-10,84.7983263934145
2020-09-11,74.7140742906787
2020-09-14,71.42998884945612
2020-09-15,79.9316583024002
2020-09-16,82.26302047308013
2020-09-17,81.70281953785197
2020-09-18,74.46195834968721
2020-09-21,62.3398999741957
2020-09-22,56.98229530292787
2020-09-23,63.147531439275774
2020-09-24,47.307781300942246
2020-09-25,54.55318058547161
2020-09-28,65.46714806884933
2020-09-29,77.22244238187922
2020-09-30,73.43040757181971
2020-10-01,80.5685291558458
2020-10-02,83.61645035522382
2020-10-05,82.3379167902212
2020-10-06,88.38870810893886
2020-10-07,85.31611187156362
2020-10-08,91.12212867341783
2020-10-09,92.486794751235
2020-10-12,91.97903464716538
2020-10-13,94.18669659864011
2020-10-14,92.6996206150113
2020-10-15,89.74656769715024
2020-10-16,88.63867245724913
2020-10-19,87.05801995639501
2020-10-20,79.40284477408834
2020-10-21,84.3448926427607
2020-10-22,79.27593696908855
2020-10-23,82.25077028574255
2020-10-26,83.83120364550243
2020-10-27,74.39219863200047
2020-10-28,68.04485892469162
2020-10-29,51.45169129666656
2020-10-30,60.98359775172556
2020-11-02,57.71061539780856
2020-11-03,65.18531481320584
2020-11-04,75.64474054629164
2020-11-05,76.59780774347863
2020-11-06,83.85975784062421
2020-11-09,81.54438924117407
2020-11-10,84.9609958121229
2020-11-11,82.61758021584582
2020-11-12,81.96679778146185
2020-11-13,73.7806979547225
2020-11-16,81.04794706324296
2020-11-17,87.83531427518133
2020-11-18,85.75733334560942
2020-11-19,83.37516352114721
2020-11-20,87.01119082423162
2020-11-23,81.18702176922949
2020-11-24,85.40506345818764
2020-11-25,89.50244699227076
2020-11-27,88.32517700965631
2020-11-30,89.18650490983175
2020-12-01,85.75671845690817
2020-12-02,88.61549738292082
2020-12-03,91.11403476144517
2020-12-04,91.7258714738237
2020-12-07,94.18545350747982
2020-12-08,93.15666613442505
2020-12-09,93.54624491369454
2020-12-10,91.58365605727164
2020-12-11,91.02813242270788
2020-12-14,88.57270945397406
2020-12-15,84.62306299953678
2020-12-16,89.84364668801763
2020-12-17,87.3223041521469
2020-12-18,88.4431408789321
2020-12-21,83.82448506210393
2020-12-22,80.38065433912348
2020-12-23,73.33518188394766
2020-12-24,76.6578254200808
2020-12-28,74.16388528478012
2020-12-29,76.35542203309352
2020-12-30,71.50033792262927
2020-12-31,75.17378891848956
2021-01-04,76.70630564678396
2021-01-05,72.33185136891278
2021-01-06,79.8666593049808
2021-01-07,81.78088247616469
2021-01-08,86.6977734891343
2021-01-11,85.24028786189209
2021-01-12,85.68538974062643
2021-01-13,86.56764825754163
2021-01-14,86.67387546727686
2021-01-15,86.95694696002676
2021-01-19,80.24607292739636
2021-01-20,83.58712744460603
2021-01-21,86.31176982593848
2021-01-22,85.94801282496344
2021-01-25,82.35615927093947
2021-01-26,80.87892731911327
2021-01-27,79.15514232518386
2021-01-28,71.02725009382813
2021-01-29,75.52209200665014
2021-02-01,62.2282137606897
2021-02-02,70.29007224036128
2021-02-03,77.49571933690078
2021-02-04,77.02014843055605
2021-02-05,81.56849443407287
2021-02-08,83.021475913238
2021-02-09,87.2235262947164
2021-02-10,83.15864520496928
2021-02-11,83.5583871660514
2021-02-12,82.72144398266246
2021-02-16,84.34124289172722
2021-02-17,85.44787167371678
2021-02-18,85.3932795544457
2021-02-19,80.24980110857459
2021-02-22,82.41312791875437
2021-02-23,81.09497061294523
2021-02-24,79.06626746976977
