,0
2000-05-12,24.50988403504005
2000-05-15,31.523280856775354
2000-05-16,37.96097437869767
2000-05-17,38.94509265959472
2000-05-18,36.11165967570534
2000-05-19,31.535242663889612
2000-05-22,25.869178980968844
2000-05-23,22.881368415464582
2000-05-24,20.98903870790289
2000-05-25,26.064071459564325
2000-05-26,19.219518954229425
2000-05-30,18.88209125359935
2000-05-31,26.296211037375727
2000-06-01,25.003557170648367
2000-06-02,31.32191591021918
2000-06-05,35.966258011962005
2000-06-06,31.79839292791803
2000-06-07,30.467104107169586
2000-06-08,32.401966076791474
2000-06-09,36.03167561180919
2000-06-12,37.25120268196628
2000-06-13,34.294876812778476
2000-06-14,40.51220037634034
2000-06-15,40.775952974782385
2000-06-16,46.06598590768127
2000-06-19,38.9452566899944
2000-06-20,43.843514427213265
2000-06-21,44.79549599872386
2000-06-22,51.83736972541645
2000-06-23,27.283495955995964
2000-06-26,24.875515721890768
2000-06-27,26.553295161045543
2000-06-28,24.90114274925675
2000-06-29,28.563709448659836
2000-06-30,24.812311984634665
2000-07-03,25.260448514394053
2000-07-05,30.78446569649521
2000-07-06,24.069674154172084
2000-07-07,44.19960516695177
2000-07-10,53.08484664895651
2000-07-11,50.76484733280547
2000-07-12,54.48414432325818
2000-07-13,57.73575794072755
2000-07-14,59.90116837833715
2000-07-17,66.53134460600533
2000-07-18,67.251600900552
2000-07-19,63.06666822920808
2000-07-20,60.70510999999198
2000-07-21,56.73387802218126
2000-07-24,49.44429812303589
2000-07-25,42.397724326717814
2000-07-26,45.44084290004265
2000-07-27,36.60077418992649
2000-07-28,36.94623511757609
2000-07-31,31.42796880240084
2000-08-01,33.56281387303991
2000-08-02,32.1906138475389
2000-08-03,33.7998612554491
2000-08-04,36.921557129674056
2000-08-07,42.72005400148415
2000-08-08,44.48801470595666
2000-08-09,40.34200293457638
2000-08-10,37.899608502923115
2000-08-11,37.282737389503595
2000-08-14,40.38525447429083
2000-08-15,45.037113388106256
2000-08-16,40.67093152795785
2000-08-17,36.74966909351577
2000-08-18,40.69541391773877
2000-08-21,41.764167511533365
2000-08-22,43.27889296264438
2000-08-23,45.3787449618134
2000-08-24,46.204299082741294
2000-08-25,47.4017340499788
2000-08-28,48.959487518874596
2000-08-29,52.2360104262315
2000-08-30,51.16153679154405
2000-08-31,48.64437705424739
2000-09-01,52.967075812521145
2000-09-05,52.75766308575523
2000-09-06,49.46935057602549
2000-09-07,46.700762391362
2000-09-08,60.39140392331856
2000-09-11,55.74388838838094
2000-09-12,50.055923968517035
2000-09-13,48.60161357671275
2000-09-14,49.88834116219976
2000-09-15,44.34740057688853
2000-09-18,39.593939039555934
2000-09-19,33.574410671044845
2000-09-20,36.35870061386065
2000-09-21,33.17065439521641
2000-09-22,30.970886243575773
2000-09-25,29.761617486119622
2000-09-26,28.81269478202388
2000-09-27,26.282880939879128
2000-09-28,25.64844921448487
2000-09-29,37.294888171676355
2000-10-02,29.695735767826893
2000-10-03,29.68684713056505
2000-10-04,25.353034300373956
2000-10-05,27.038331496176614
2000-10-06,23.419723052035167
2000-10-09,18.146295877093817
2000-10-10,16.5986026791422
2000-10-11,15.051410979025004
2000-10-12,13.35191317444908
2000-10-13,10.139835813112331
2000-10-16,12.834252648722572
2000-10-17,12.596627791602689
2000-10-18,10.95420238905787
2000-10-19,10.419581246014637
2000-10-20,15.027587010735783
2000-10-23,16.35684128525414
2000-10-24,15.397581623233291
2000-10-25,15.428385709526976
2000-10-26,12.64285706919004
2000-10-27,12.987009195237276
2000-10-30,14.950010250910434
2000-10-31,18.382268468124025
2000-11-01,24.829216632149194
2000-11-02,23.4791358126789
2000-11-03,24.20546206412834
